user_id,variant,experiment_name
U000001,B_treatment,checkout_optimization
U000002,B_treatment,checkout_optimization
U000003,B_treatment,checkout_optimization
U000004,B_treatment,checkout_optimization
U000006,A_control,checkout_optimization
U000007,B_treatment,checkout_optimization
U000008,B_treatment,checkout_optimization
U000009,A_control,checkout_optimization
U000011,A_control,checkout_optimization
U000013,A_control,checkout_optimization
U000015,A_control,checkout_optimization
U000016,B_treatment,checkout_optimization
U000021,B_treatment,checkout_optimization
U000024,A_control,checkout_optimization
U000025,A_control,checkout_optimization
U000027,A_control,checkout_optimization
U000028,A_control,checkout_optimization
U000029,B_treatment,checkout_optimization
U000030,B_treatment,checkout_optimization
U000033,B_treatment,checkout_optimization
U000034,A_control,checkout_optimization
U000035,B_treatment,checkout_optimization
U000036,A_control,checkout_optimization
U000037,A_control,checkout_optimization
U000038,A_control,checkout_optimization
U000039,B_treatment,checkout_optimization
U000040,A_control,checkout_optimization
U000042,B_treatment,checkout_optimization
U000043,A_control,checkout_optimization
U000045,B_treatment,checkout_optimization
U000046,A_control,checkout_optimization
U000048,A_control,checkout_optimization
U000049,A_control,checkout_optimization
U000050,B_treatment,checkout_optimization
U000052,B_treatment,checkout_optimization
U000055,B_treatment,checkout_optimization
U000057,A_control,checkout_optimization
U000058,A_control,checkout_optimization
U000059,B_treatment,checkout_optimization
U000060,B_treatment,checkout_optimization
U000061,A_control,checkout_optimization
U000062,B_treatment,checkout_optimization
U000063,A_control,checkout_optimization
U000065,A_control,checkout_optimization
U000066,A_control,checkout_optimization
U000067,A_control,checkout_optimization
U000068,B_treatment,checkout_optimization
U000070,A_control,checkout_optimization
U000071,B_treatment,checkout_optimization
U000073,B_treatment,checkout_optimization
U000074,A_control,checkout_optimization
U000076,B_treatment,checkout_optimization
U000077,B_treatment,checkout_optimization
U000078,B_treatment,checkout_optimization
U000079,A_control,checkout_optimization
U000081,B_treatment,checkout_optimization
U000082,B_treatment,checkout_optimization
U000083,A_control,checkout_optimization
U000084,B_treatment,checkout_optimization
U000085,A_control,checkout_optimization
U000087,B_treatment,checkout_optimization
U000090,A_control,checkout_optimization
U000092,B_treatment,checkout_optimization
U000093,B_treatment,checkout_optimization
U000094,B_treatment,checkout_optimization
U000095,A_control,checkout_optimization
U000097,A_control,checkout_optimization
U000100,A_control,checkout_optimization
U000101,A_control,checkout_optimization
U000103,B_treatment,checkout_optimization
U000104,A_control,checkout_optimization
U000105,A_control,checkout_optimization
U000106,B_treatment,checkout_optimization
U000108,A_control,checkout_optimization
U000109,A_control,checkout_optimization
U000111,B_treatment,checkout_optimization
U000112,B_treatment,checkout_optimization
U000114,A_control,checkout_optimization
U000115,A_control,checkout_optimization
U000116,B_treatment,checkout_optimization
U000117,B_treatment,checkout_optimization
U000118,A_control,checkout_optimization
U000119,A_control,checkout_optimization
U000121,B_treatment,checkout_optimization
U000125,A_control,checkout_optimization
U000126,B_treatment,checkout_optimization
U000127,A_control,checkout_optimization
U000128,B_treatment,checkout_optimization
U000129,A_control,checkout_optimization
U000130,A_control,checkout_optimization
U000131,A_control,checkout_optimization
U000132,A_control,checkout_optimization
U000133,B_treatment,checkout_optimization
U000134,A_control,checkout_optimization
U000136,A_control,checkout_optimization
U000137,B_treatment,checkout_optimization
U000140,A_control,checkout_optimization
U000141,A_control,checkout_optimization
U000142,A_control,checkout_optimization
U000145,A_control,checkout_optimization
U000146,B_treatment,checkout_optimization
U000147,A_control,checkout_optimization
U000148,A_control,checkout_optimization
U000149,A_control,checkout_optimization
U000150,A_control,checkout_optimization
U000155,B_treatment,checkout_optimization
U000157,B_treatment,checkout_optimization
U000158,B_treatment,checkout_optimization
U000159,B_treatment,checkout_optimization
U000163,B_treatment,checkout_optimization
U000166,A_control,checkout_optimization
U000169,A_control,checkout_optimization
U000171,B_treatment,checkout_optimization
U000172,A_control,checkout_optimization
U000173,A_control,checkout_optimization
U000175,A_control,checkout_optimization
U000176,A_control,checkout_optimization
U000177,A_control,checkout_optimization
U000178,A_control,checkout_optimization
U000179,A_control,checkout_optimization
U000180,A_control,checkout_optimization
U000184,A_control,checkout_optimization
U000185,B_treatment,checkout_optimization
U000186,B_treatment,checkout_optimization
U000187,A_control,checkout_optimization
U000188,A_control,checkout_optimization
U000189,B_treatment,checkout_optimization
U000191,B_treatment,checkout_optimization
U000192,A_control,checkout_optimization
U000193,B_treatment,checkout_optimization
U000195,A_control,checkout_optimization
U000198,B_treatment,checkout_optimization
U000199,A_control,checkout_optimization
U000203,B_treatment,checkout_optimization
U000204,B_treatment,checkout_optimization
U000205,A_control,checkout_optimization
U000210,A_control,checkout_optimization
U000214,A_control,checkout_optimization
U000215,A_control,checkout_optimization
U000217,B_treatment,checkout_optimization
U000218,B_treatment,checkout_optimization
U000221,A_control,checkout_optimization
U000223,B_treatment,checkout_optimization
U000224,B_treatment,checkout_optimization
U000225,B_treatment,checkout_optimization
U000226,B_treatment,checkout_optimization
U000227,A_control,checkout_optimization
U000228,A_control,checkout_optimization
U000229,B_treatment,checkout_optimization
U000230,B_treatment,checkout_optimization
U000231,A_control,checkout_optimization
U000232,A_control,checkout_optimization
U000234,B_treatment,checkout_optimization
U000239,A_control,checkout_optimization
U000240,B_treatment,checkout_optimization
U000241,B_treatment,checkout_optimization
U000242,A_control,checkout_optimization
U000246,A_control,checkout_optimization
U000247,A_control,checkout_optimization
U000248,B_treatment,checkout_optimization
U000249,B_treatment,checkout_optimization
U000250,A_control,checkout_optimization
U000251,B_treatment,checkout_optimization
U000252,A_control,checkout_optimization
U000253,B_treatment,checkout_optimization
U000254,B_treatment,checkout_optimization
U000256,B_treatment,checkout_optimization
U000257,B_treatment,checkout_optimization
U000258,A_control,checkout_optimization
U000259,A_control,checkout_optimization
U000263,A_control,checkout_optimization
U000264,B_treatment,checkout_optimization
U000265,B_treatment,checkout_optimization
U000267,A_control,checkout_optimization
U000268,A_control,checkout_optimization
U000269,A_control,checkout_optimization
U000271,A_control,checkout_optimization
U000272,A_control,checkout_optimization
U000276,B_treatment,checkout_optimization
U000277,B_treatment,checkout_optimization
U000279,B_treatment,checkout_optimization
U000282,B_treatment,checkout_optimization
U000284,A_control,checkout_optimization
U000285,B_treatment,checkout_optimization
U000287,A_control,checkout_optimization
U000289,A_control,checkout_optimization
U000291,A_control,checkout_optimization
U000292,A_control,checkout_optimization
U000293,A_control,checkout_optimization
U000294,A_control,checkout_optimization
U000295,A_control,checkout_optimization
U000296,A_control,checkout_optimization
